Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI,DS,DIX,Ybu,Ykg
2019,Michigan,19,Full+,101,23,1,30,200,Amodel,46.66666667,1.428571429,22.22222222,86.12946897,5792.206788
2019,Michigan,19,Full+,102,19,1,30,170,NT,83.33333333,2.12,58.88888889,66.69794187,4485.436591
2019,Michigan,19,Full+,103,14,1,30,110,Amodel,40,1.25,16.66666667,71.26959606,4792.880335
2019,Michigan,19,Full+,104,20,1,30,170,Amodel,70,2.19047619,51.11111111,70.71526108,4755.601308
2019,Michigan,19,Full+,105,21,1,30,170,AR1R3,43.33333333,1.153846154,16.66666667,72.31174581,4862.964906
2019,Michigan,19,Full+,106,15,1,30,110,AR1R3,46.66666667,1.142857143,17.77777778,74.11375172,4984.149803
2019,Michigan,19,Full+,107,22,1,30,200,NT,90,2.148148148,64.44444444,63.63837044,4279.680412
2019,Michigan,19,Full+,108,18,1,30,140,AR1R3,83.33333333,2.24,62.22222222,70.78166207,4760.066774
2019,Michigan,19,Full+,109,17,1,30,140,Amodel,66.66666667,1.6,35.55555556,63.66161675,4281.243726
2019,Michigan,19,Full+,110,24,1,30,200,AR1R3,36.66666667,1.363636364,16.66666667,73.30597241,4929.826645
2019,Michigan,19,Full+,111,16,1,30,140,NT,96.66666667,2.517241379,81.11111111,50.83001379,3418.318427
2019,Michigan,19,Full+,112,13,1,30,110,NT,90,2,60,58.89826995,3960.908654
2019,Michigan,19,Full+,113,21,2,30,170,AR1R3,80,1.875,50,61.95891429,4166.736986
2019,Michigan,19,Full+,114,14,2,30,110,Amodel,56.66666667,1.705882353,32.22222222,63.91553793,4298.319926
2019,Michigan,19,Full+,115,20,2,30,170,Amodel,63.33333333,1.894736842,40,63.78881576,4289.79786
2019,Michigan,19,Full+,116,22,2,30,200,NT,83.33333333,2.36,65.55555556,49.27453793,3313.712676
2019,Michigan,19,Full+,117,13,2,30,110,NT,80,2,53.33333333,56.54455172,3802.621103
2019,Michigan,19,Full+,118,17,2,30,140,Amodel,90,1.888888889,56.66666667,67.97505813,4571.322659
2019,Michigan,19,Full+,119,23,2,30,200,Amodel,100,2.233333333,74.44444444,50.75026108,3412.955058
2019,Michigan,19,Full+,120,18,2,30,140,AR1R3,96.66666667,2.413793103,77.77777778,53.86562365,3622.46319
2019,Michigan,19,Full+,121,24,2,30,200,AR1R3,96.66666667,2.103448276,67.77777778,57.75622069,3884.105841
2019,Michigan,19,Full+,122,15,2,30,110,AR1R3,56.66666667,1.764705882,33.33333333,63.99099901,4303.394683
2019,Michigan,19,Full+,123,19,2,30,170,NT,100,2.866666667,95.55555556,34.91332808,2347.921313
2019,Michigan,19,Full+,124,16,2,30,140,NT,100,2.633333333,87.77777778,36.83812217,2477.363716
2019,Michigan,19,Full+,201,9,1,15,170,AR1R3,33.33333333,1.4,15.55555556,76.53708966,5147.11928
2019,Michigan,19,Full+,202,5,1,15,140,Amodel,20,1.166666667,7.777777778,67.89470936,4565.919204
2019,Michigan,19,Full+,203,8,1,15,170,Amodel,23.33333333,2,15.55555556,70.88263448,4766.857169
2019,Michigan,19,Full+,204,1,1,15,110,NT,36.66666667,1.727272727,21.11111111,67.29030542,4525.273039
2019,Michigan,19,Full+,205,2,1,15,110,Amodel,20,1,6.666666667,64.11748276,4311.900716
2019,Michigan,19,Full+,206,7,1,15,170,NT,50,1.533333333,25.55555556,80.77793103,5432.315862
2019,Michigan,19,Full+,207,3,1,15,110,AR1R3,30,1.777777778,17.77777778,63.10775862,4243.996767
2019,Michigan,19,Full+,208,11,1,15,200,Amodel,3.333333333,1,1.111111111,81.6720197,5492.443325
2019,Michigan,19,Full+,209,12,1,15,200,AR1R3,40,1.583333333,21.11111111,82.59543448,5554.542969
2019,Michigan,19,Full+,210,10,1,15,200,NT,53.33333333,1.875,33.33333333,84.2109931,5663.189286
2019,Michigan,19,Full+,211,4,1,15,140,NT,66.66666667,1.85,41.11111111,63.73922365,4286.46279
2019,Michigan,19,Full+,212,6,1,15,140,AR1R3,30,1.444444444,14.44444444,77.86737438,5236.580927
2019,Michigan,19,Full+,213,10,2,15,200,NT,33.33333333,1.4,15.55555556,75.74075468,5093.565752
2019,Michigan,19,Full+,214,9,2,15,170,AR1R3,40,1.333333333,17.77777778,80.48645813,5412.714309
2019,Michigan,19,Full+,215,8,2,15,170,Amodel,60,2,40,69.68956256,4686.623082
2019,Michigan,19,Full+,216,7,2,15,170,NT,90,2.148148148,64.44444444,53.42644729,3592.92858
2019,Michigan,19,Full+,217,12,2,15,200,AR1R3,36.66666667,1.818181818,22.22222222,75.95342857,5107.868071
2019,Michigan,19,Full+,218,4,2,15,140,NT,60,1.833333333,36.66666667,68.17676453,4584.887415
2019,Michigan,19,Full+,219,5,2,15,140,Amodel,26.66666667,1.375,12.22222222,57.82131034,3888.48312
2019,Michigan,19,Full+,220,1,2,15,110,NT,76.66666667,1.304347826,33.33333333,62.78648276,4222.390966
2019,Michigan,19,Full+,221,11,2,15,200,Amodel,63.33333333,1.473684211,31.11111111,71.92406897,4836.893638
2019,Michigan,19,Full+,222,2,2,15,110,Amodel,40,1.333333333,17.77777778,75.04682266,5046.898824
2019,Michigan,19,Full+,223,6,2,15,140,AR1R3,33.33333333,1.3,14.44444444,65.40628177,4398.572449
2019,Michigan,19,Full+,224,3,2,15,110,AR1R3,33.33333333,1.1,12.22222222,56.81397044,3820.739512
2019,Michigan,19,Full+,301,21,3,30,170,AR1R3,30,2,20,73.62283744,4951.135818
2019,Michigan,19,Full+,302,14,3,30,110,Amodel,33.33333333,1.2,13.33333333,69.36804828,4665.001247
2019,Michigan,19,Full+,303,15,3,30,110,AR1R3,56.66666667,1.764705882,33.33333333,67.99246305,4572.49314
2019,Michigan,19,Full+,304,16,3,30,140,NT,53.33333333,1.8125,32.22222222,66.3161064,4459.758155
2019,Michigan,19,Full+,305,20,3,30,170,Amodel,36.66666667,1.818181818,22.22222222,68.19691133,4586.242287
2019,Michigan,19,Full+,306,19,3,30,170,NT,83.33333333,1.96,54.44444444,58.9602601,3965.077492
2019,Michigan,19,Full+,307,23,3,30,200,Amodel,60,2.166666667,43.33333333,66.11392315,4446.161332
2019,Michigan,19,Full+,308,18,3,30,140,AR1R3,23.33333333,1.142857143,8.888888889,71.97723744,4840.469218
2019,Michigan,19,Full+,309,22,3,30,200,NT,53.33333333,1.75,31.11111111,64.31716256,4325.329182
2019,Michigan,19,Full+,310,17,3,30,140,Amodel,63.33333333,2.052631579,43.33333333,60.65497537,4079.047094
2019,Michigan,19,Full+,311,24,3,30,200,AR1R3,80,1.916666667,51.11111111,50.16552709,3373.631697
2019,Michigan,19,Full+,312,13,3,30,110,NT,66.66666667,2,44.44444444,67.22593103,4520.943862
2019,Michigan,19,Full+,313,21,4,30,170,AR1R3,86.66666667,1.884615385,54.44444444,54.35987586,3655.701652
2019,Michigan,19,Full+,314,23,4,30,200,Amodel,53.33333333,1.9375,34.44444444,73.07398621,4914.225573
2019,Michigan,19,Full+,315,13,4,30,110,NT,86.66666667,2.076923077,60,62.27244138,4187.821683
2019,Michigan,19,Full+,316,17,4,30,140,Amodel,73.33333333,2.136363636,52.22222222,65.40628177,4398.572449
2019,Michigan,19,Full+,317,18,4,30,140,AR1R3,46.66666667,2.357142857,36.66666667,61.95140394,4166.231915
2019,Michigan,19,Full+,318,22,4,30,200,NT,56.66666667,1.823529412,34.44444444,62.88423645,4228.964901
2019,Michigan,19,Full+,319,19,4,30,170,NT,73.33333333,2.090909091,51.11111111,63.26225714,4254.386793
2019,Michigan,19,Full+,320,15,4,30,110,AR1R3,96.66666667,2.448275862,78.88888889,57.61984236,3874.934399
2019,Michigan,19,Full+,321,24,4,30,200,AR1R3,50,2,33.33333333,71.19806897,4788.070138
2019,Michigan,19,Full+,322,20,4,30,170,Amodel,36.66666667,1.727272727,21.11111111,80.77793103,5432.315862
2019,Michigan,19,Full+,323,14,4,30,110,Amodel,26.66666667,1.875,16.66666667,51.63767389,3472.633569
2019,Michigan,19,Full+,324,16,4,30,140,NT,66.66666667,1.75,38.88888889,70.37777241,4732.905195
2019,Michigan,19,Full+,401,8,3,15,170,Amodel,10,2,6.666666667,78.75848276,5296.507966
2019,Michigan,19,Full+,402,6,3,15,140,AR1R3,13.33333333,1.25,5.555555556,66.44926601,4468.713139
2019,Michigan,19,Full+,403,4,3,15,140,NT,36.66666667,1.818181818,22.22222222,67.56520788,4543.76023
2019,Michigan,19,Full+,404,3,3,15,110,AR1R3,3.333333333,1,1.111111111,70.64516453,4750.887315
2019,Michigan,19,Full+,405,10,3,15,200,NT,20,1.666666667,11.11111111,75.21216946,5058.018396
2019,Michigan,19,Full+,406,5,3,15,140,Amodel,10,1.333333333,4.444444444,74.80780296,5030.824749
2019,Michigan,19,Full+,407,2,3,15,110,Amodel,13.33333333,2,8.888888889,65.17977931,4383.340159
2019,Michigan,19,Full+,408,12,3,15,200,AR1R3,6.666666667,1.5,3.333333333,87.34650246,5874.05229
2019,Michigan,19,Full+,409,11,3,15,200,Amodel,20,2,13.33333333,75.38955665,5069.947685
2019,Michigan,19,Full+,410,1,3,15,110,NT,13.33333333,1.75,7.777777778,64.19318227,4316.991508
2019,Michigan,19,Full+,411,7,3,15,170,NT,30,2.111111111,21.11111111,68.43903054,4602.524804
2019,Michigan,19,Full+,412,9,3,15,170,AR1R3,0,0,0,75.31326108,5064.816808
2019,Michigan,19,Full+,413,4,4,15,140,NT,66.66666667,1.9,42.22222222,62.373533,4194.620094
2019,Michigan,19,Full+,414,11,4,15,200,Amodel,NA,NA,NA,NA,.
2019,Michigan,19,Full+,415,8,4,15,170,Amodel,NA,NA,NA,NA,.
2019,Michigan,19,Full+,416,10,4,15,200,NT,46.66666667,2.142857143,33.33333333,71.31966502,4796.247473
2019,Michigan,19,Full+,417,5,4,15,140,Amodel,NA,NA,NA,NA,.
2019,Michigan,19,Full+,418,2,4,15,110,Amodel,NA,NA,NA,NA,.
2019,Michigan,19,Full+,419,7,4,15,170,NT,63.33333333,2.210526316,46.66666667,63.26094581,4254.298606
2019,Michigan,19,Full+,420,3,4,15,110,AR1R3,46.66666667,1.785714286,27.77777778,72.31174581,4862.964906
2019,Michigan,19,Full+,421,9,4,15,170,AR1R3,3.333333333,1,1.111111111,63.91553793,4298.319926
2019,Michigan,19,Full+,422,1,4,15,110,NT,36.66666667,1.363636364,16.66666667,76.23417241,5126.748095
2019,Michigan,19,Full+,423,12,4,15,200,AR1R3,16.66666667,2.2,12.22222222,65.07856847,4376.53373
2019,Michigan,19,Full+,424,6,4,15,140,AR1R3,23.33333333,1.857142857,14.44444444,69.00278325,4640.437174
