Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI%,DS,DIX,Ybu,Ykg
2019,Nashua,17,Part-,101,13,1,30,110,NT,0,0,0,61.46811826,4133.730953
2019,Nashua,17,Part-,102,14,1,30,110,Amodel,0,0,0,69.25536411,4657.423236
2019,Nashua,17,Part-,103,15,1,30,110,AR1R3,0,0,0,67.45628642,4536.435262
2019,Nashua,17,Part-,104,16,1,30,140,NT,0,0,0,68.65227818,4616.865708
2019,Nashua,17,Part-,105,17,1,30,140,Amodel,0,0,0,70.81940911,4762.605263
2019,Nashua,17,Part-,106,18,1,30,140,AR1R3,0,0,0,68.42564105,4601.624361
2019,Nashua,17,Part-,107,19,1,30,170,NT,0,0,0,68.23588063,4588.862972
2019,Nashua,17,Part-,108,20,1,30,170,Amodel,0,0,0,74.86454778,5034.640838
2019,Nashua,17,Part-,109,21,1,30,170,AR1R3,0,0,0,76.07420331,5115.990173
2019,Nashua,17,Part-,110,22,1,30,200,NT,0,0,0,74.65527896,5020.56751
2019,Nashua,17,Part-,111,23,1,30,200,Amodel,0,0,0,61.35491624,4126.118117
2019,Nashua,17,Part-,112,24,1,30,200,AR1R3,0,0,0,62.00184733,4169.624233
2019,Nashua,17,Part-,201,18,2,30,140,AR1R3,0,0,0,67.16766983,4517.025796
2019,Nashua,17,Part-,202,19,2,30,170,NT,0,0,0,68.13336723,4581.968946
2019,Nashua,17,Part-,203,22,2,30,200,NT,0,0,0,69.02738991,4642.091971
2019,Nashua,17,Part-,204,21,2,30,170,AR1R3,0,0,0,67.01818355,4506.972844
2019,Nashua,17,Part-,205,14,2,30,110,Amodel,0,0,0,70.05972843,4711.516737
2019,Nashua,17,Part-,206,16,2,30,140,NT,0,0,0,71.08760786,4780.641629
2019,Nashua,17,Part-,207,15,2,30,110,AR1R3,0,0,0,68.81023785,4627.488495
2019,Nashua,17,Part-,208,20,2,30,170,Amodel,0,0,0,69.99021554,4706.841995
2019,Nashua,17,Part-,209,24,2,30,200,AR1R3,0,0,0,71.37403096,4799.903582
2019,Nashua,17,Part-,210,17,2,30,140,Amodel,0,0,0,75.07090059,5048.518065
2019,Nashua,17,Part-,211,23,2,30,200,Amodel,0,0,0,60.64908573,4078.651015
2019,Nashua,17,Part-,212,13,2,30,110,NT,0,0,0,66.29260203,4458.177487
2019,Nashua,17,Part-,301,22,3,30,200,NT,0,0,0,63.76912426,4288.473606
2019,Nashua,17,Part-,301,14,3,30,110,Amodel,0,0,0,62.5233115,4204.692698
2019,Nashua,17,Part-,303,17,3,30,140,Amodel,0,0,0,69.41165863,4667.934043
2019,Nashua,17,Part-,304,18,3,30,140,AR1R3,0,0,0,74.22000627,4991.295422
2019,Nashua,17,Part-,305,15,3,30,110,AR1R3,0,0,0,72.76753743,4893.616892
2019,Nashua,17,Part-,306,13,3,30,110,NT,0,0,0,63.15855297,4247.412687
2019,Nashua,17,Part-,307,23,3,30,200,Amodel,0,0,0,66.94325596,4501.933963
2019,Nashua,17,Part-,308,24,3,30,200,AR1R3,0,0,0,76.98193668,5177.035242
2019,Nashua,17,Part-,309,16,3,30,140,NT,0,0,0,72.67677241,4887.512945
2019,Nashua,17,Part-,310,21,3,30,170,AR1R3,0,0,0,75.75541831,5094.551881
2019,Nashua,17,Part-,311,20,3,30,170,Amodel,0,0,0,70.06755979,4712.043396
2019,Nashua,17,Part-,312,19,3,30,170,NT,0,0,0,64.28203532,4322.966875
2019,Nashua,17,Part-,401,21,4,30,170,AR1R3,0,0,0,75.19204879,5056.665281
2019,Nashua,17,Part-,402,18,4,30,140,AR1R3,0,0,0,69.74727062,4690.503949
2019,Nashua,17,Part-,403,13,4,30,110,NT,0,0,0,69.51360591,4674.789997
2019,Nashua,17,Part-,404,23,4,30,200,Amodel,0,0,0,69.82951114,4696.034624
2019,Nashua,17,Part-,405,22,4,30,200,NT,0,0,0,68.71606356,4621.155274
2019,Nashua,17,Part-,406,17,4,30,140,Amodel,0,0,0,71.9904545,4841.358065
2019,Nashua,17,Part-,407,14,4,30,110,Amodel,0,0,0,69.52934187,4675.848241
2019,Nashua,17,Part-,408,15,4,30,110,AR1R3,0,0,0,75.81358299,5098.463456
2019,Nashua,17,Part-,409,19,4,30,170,NT,0,0,0,70.93853281,4770.616331
2019,Nashua,17,Part-,410,16,4,30,140,NT,0,0,0,71.51638742,4809.477054
2019,Nashua,17,Part-,411,24,4,30,200,AR1R3,0,0,0,67.43822383,4535.220553
2019,Nashua,17,Part-,412,20,4,30,170,Amodel,0,0,0,71.12835008,4783.381543
2019,Stewertville,18,Part-,101,13,1,30,110,NT,0,0,0,38.28556694,2574.704377
2019,Stewertville,18,Part-,102,14,1,30,110,Amodel,0,0,0,23.04945523,1550.075864
2019,Stewertville,18,Part-,103,15,1,30,110,AR1R3,0,0,0,25.06861129,1685.864109
2019,Stewertville,18,Part-,104,16,1,30,140,NT,0,0,0,40.89470212,2750.168718
2019,Stewertville,18,Part-,105,17,1,30,140,Amodel,0,0,0,61.03736036,4104.762484
2019,Stewertville,18,Part-,106,18,1,30,140,AR1R3,0,0,0,44.13946216,2968.37883
2019,Stewertville,18,Part-,107,19,1,30,170,NT,0,0,0,46.73113519,3142.668842
2019,Stewertville,18,Part-,108,20,1,30,170,Amodel,0,0,0,53.79685235,3617.838321
2019,Stewertville,18,Part-,109,21,1,30,170,AR1R3,0,0,0,49.67052337,3340.342697
2019,Stewertville,18,Part-,110,22,1,30,200,NT,0,0,0,49.93117572,3357.871567
2019,Stewertville,18,Part-,111,23,1,30,200,Amodel,0,0,0,45.36660119,3050.90393
2019,Stewertville,18,Part-,112,24,1,30,200,AR1R3,0,0,0,55.64916221,3742.406159
2019,Stewertville,18,Part-,201,18,2,30,140,AR1R3,0,0,0,44.03716697,2961.499479
2019,Stewertville,18,Part-,202,19,2,30,170,NT,0,0,0,45.22917228,3041.661836
2019,Stewertville,18,Part-,203,22,2,30,200,NT,0,0,0,38.37086844,2580.440903
2019,Stewertville,18,Part-,204,21,2,30,170,AR1R3,0,0,0,40.51149391,2724.397965
2019,Stewertville,18,Part-,205,14,2,30,110,Amodel,0,0,0,40.56519378,2728.009282
2019,Stewertville,18,Part-,206,16,2,30,140,NT,0,0,0,44.73229206,3008.246641
2019,Stewertville,18,Part-,207,15,2,30,110,AR1R3,0,0,0,32.34651672,2175.303249
2019,Stewertville,18,Part-,208,20,2,30,170,Amodel,0,0,0,47.00435992,3161.043205
2019,Stewertville,18,Part-,209,24,2,30,200,AR1R3,0,0,0,44.28551133,2978.200637
2019,Stewertville,18,Part-,210,17,2,30,140,Amodel,0,0,0,38.87883211,2614.601459
2019,Stewertville,18,Part-,211,23,2,30,200,Amodel,0,0,0,29.4804524,1982.560424
2019,Stewertville,18,Part-,212,13,2,30,110,NT,0,0,0,19.62267038,1319.624583
2019,Stewertville,18,Part-,301,22,3,30,200,NT,0,0,0,40.60497658,2730.684675
2019,Stewertville,18,Part-,301,14,3,30,110,Amodel,0,0,0,36.90808101,2482.068448
2019,Stewertville,18,Part-,303,17,3,30,140,Amodel,0,0,0,32.49946987,2185.589349
2019,Stewertville,18,Part-,304,18,3,30,140,AR1R3,0,0,0,41.54658289,2794.007699
2019,Stewertville,18,Part-,305,15,3,30,110,AR1R3,0,0,0,31.1753092,2096.539544
2019,Stewertville,18,Part-,306,13,3,30,110,NT,0,0,0,22.10742319,1486.72421
2019,Stewertville,18,Part-,307,23,3,30,200,Amodel,0,0,0,43.85395156,2949.178242
2019,Stewertville,18,Part-,308,24,3,30,200,AR1R3,0,0,0,52.30341241,3517.404485
2019,Stewertville,18,Part-,309,16,3,30,140,NT,0,0,0,35.12389469,2362.081918
2019,Stewertville,18,Part-,310,21,3,30,170,AR1R3,0,0,0,32.38495595,2177.888288
2019,Stewertville,18,Part-,311,20,3,30,170,Amodel,0,0,0,26.30520793,1769.025233
2019,Stewertville,18,Part-,312,19,3,30,170,NT,0,0,0,26.77748092,1800.785592
2019,Stewertville,18,Part-,401,21,4,30,170,AR1R3,0,0,0,57.30577701,3853.813504
2019,Stewertville,18,Part-,402,18,4,30,140,AR1R3,0,0,0,33.5796564,2258.231893
2019,Stewertville,18,Part-,403,13,4,30,110,NT,0,0,0,45.17181823,3037.804776
2019,Stewertville,18,Part-,404,23,4,30,200,Amodel,0,0,0,54.59117732,3671.256675
2019,Stewertville,18,Part-,405,22,4,30,200,NT,0,0,0,52.11372332,3504.647893
2019,Stewertville,18,Part-,406,17,4,30,140,Amodel,0,0,0,46.8959977,3153.755845
2019,Stewertville,18,Part-,407,14,4,30,110,Amodel,0,0,0,41.91791341,2818.979677
2019,Stewertville,18,Part-,408,15,4,30,110,AR1R3,0,0,0,42.80210578,2878.441614
2019,Stewertville,18,Part-,409,19,4,30,170,NT,0,0,0,27.82022082,1870.90985
2019,Stewertville,18,Part-,410,16,4,30,140,NT,0,0,0,27.0506427,1819.155722
2019,Stewertville,18,Part-,411,24,4,30,200,AR1R3,0,0,0,31.56079751,2122.463633
2019,Stewertville,18,Part-,412,20,4,30,170,Amodel,0,0,0,40.94246925,2753.381057
